File,Category,Section,Title
360052181792.html,Founders' Decisions,Equity split,How should CEOs and scientific founders split equity?
360051598972.html,Strategy,Examples / Cases,Federal Express' Barriers to Entry
360042101632.html,General questions,Startup / Entrepreneurship Frameworks,Where can I find e-learning resources for Disciplined Entrepreneurship?
360041615372.html,Anti-Fragility in the face of crisis,Making progress on hardware product development without access to makerspaces,How do I prototype my hardware product if I have no access to on-campus makerspaces or R&D machine shops?
360042044491.html,General questions,License and legal disclaimers,Legal disclaimer
360041472312.html,General questions,Getting started,Are there on line resources to help me learn entrepreneurship?
360041467411.html,Anti-Fragility in the face of crisis,"Pitching, virtually",How do I rethink my content for a virtual pitch?
360040925012.html,Anti-Fragility in the face of crisis,Starting and running a business in tough times,Should I start a business when the world is in crisis?
360040909772.html,Anti-Fragility in the face of crisis,Fund raising in tough times,TechStars recorded webinar about female founders getting funded and surviving through the downturn
360040909572.html,Anti-Fragility in the face of crisis,Fund raising in tough times,"Techstars recorded AMA session on fundraising, running your business and getting through uncertainty"
360041336451.html,Anti-Fragility in the face of crisis,Keeping a virtual team organized and accountable,How can I trust that my employees are working hard if I cannot see them?
360040895572.html,Anti-Fragility in the face of crisis,Transforming in-person interactions to an online format,How do I virtualize all the channels of communication in the office?
360040894792.html,Anti-Fragility in the face of crisis,Maintaining cohesiveness and alignment in a virtual team,How can I maintain my own sanity as an entrepreneurial leader in a challenging situation?
360041323371.html,Anti-Fragility in the face of crisis,Keeping a virtual team organized and accountable,Borrowing rituals from the Agile software development process
360041242231.html,Anti-Fragility in the face of crisis,How to use technology to help us go virtual,How do I prepare team members who are not comfortable with technology to go virtual?
360039771952.html,Sector Deep Dives,Healthcare,What types of Innovations/Ideations require regulatory approval?
360039771472.html,Sector Deep Dives,Healthcare,Which is the best route to take my idea/innovation to market (FDA or EU) so that my startup does not sink with VC funding?
360039697692.html,Corporate Entrepreneurship,Practicing Corporate Entrepreneurship,What is the difference between startup and corporate entrepreneurship?
360040104991.html,Corporate Entrepreneurship,Innovation Enablement in organizations,How might an organization enable corporate entrepreneurship?
360039697012.html,Corporate Entrepreneurship,Innovation Strategy in Corporations,What is an innovation strategy?
360040104911.html,Corporate Entrepreneurship,Innovation Strategy in Corporations,What goes in an innovation strategy?
360040104151.html,Corporate Entrepreneurship,Corporate Entrepreneurship Overview,What is innovation?
360040103831.html,"Pitching, Presentations and Public Speaking",Preparing for a talk,What are some common mistakes in pitching?
360039239632.html,Marketing and Sales,Online Advertising,Why would I use digital advertising at an early stage?
360039224992.html,Product Development,Working with an industrial design or product design agency,What is an industrial design or product design agency?
360039224292.html,Scaling - Manufacturing,"Offshoring, Reshoring, Rightshoring",What is a typical Minimum Order Quantity (MOQ) for low volume manufacturing in China?
360039223532.html,Scaling - Manufacturing,Rapid Prototyping (RP) Versus Mass Production,What is the difference between rapid prototyping and mass production?
360039077572.html,"Raising money - Grants, prizes and accelerators",Accelerators,Which accelerators focus on space?
360034574891.html,"Pitching, Presentations and Public Speaking",Pitch deck templates,Where can I find a template for a pitch deck?
360031117572.html,Legal ,Getting started,Where can I find legal document templates?
360030517111.html,Primary Market Research,Product and usability research,Gauging customer interest and purchase intent using landing page tests
360030437851.html,Primary Market Research,Product and usability research,Pro tips for running a pilot or beta trial 
360029409792.html,Product Development,Software Development,How do I build a web or mobile app?
360028203671.html,Raising money - equity based,Pitching to investors,How do I go about getting meetings with investors?
360028203411.html,Business Model and Pricing,Marketplaces,How do I get started building a marketplace?
360027921792.html,Business Model and Pricing,Marketplaces,How can I handle disintermediation?
360027921712.html,Business Model and Pricing,Marketplaces,How do I grow a marketplace before and after launch?
360027455672.html,Legal ,Getting started,Tool Kit 
360024991831.html,Business Model and Pricing,TAM (Total Addressable Market),What is TAM?
360024704031.html,MIT Specific questions,MIT deltav,What is MIT delta v?
360024702771.html,MIT Specific questions,MIT deltav,What are the benefits of joining MIT delta v?
360024699891.html,MIT Specific questions,Navigating startup resources at MIT,Quick start guide for student entrepreneurs at MIT
360024373612.html,Sector Deep Dives,Social entrepreneurship,How do you build a purpose-driven business?
360024658231.html,Product Development,Prototyping,How do I prototype and test my product idea?
360024373152.html,Founders' Decisions,Difficult decisions,When is it time to transition out of (or leave) your startup?
360020792372.html,Strategy,Turning a consulting business to a product business,Converting a consulting business to a product business
360016783111.html,"Pitching, Presentations and Public Speaking",Elevator pitches,The Art of the Elevator Pitch 
360016503471.html,Secondary Market Research,Secondary Market Research Resources,MIT only: Free access to Pitchbook and Preqin
360016283091.html,Free or discounted services for startups,Business systems,Technology and business enablement: Microsoft for Startups
360016261691.html,Free or discounted services for startups,General / Overview,Overview
360016011352.html,MIT Specific questions,Hiring MIT Students,How do I hire MIT undergraduates as interns?
115001880091.html,Raising money - equity based,Convertible notes and safe notes,What is a convertible note?
115001262691.html,Human Resources,Nurturing,How frequently should we do performance reviews?
115000903532.html,"Raising money - Grants, prizes and accelerators",Accelerators,What are some options for commercial accelerators for startups?
115000901531.html,"Raising money - Grants, prizes and accelerators",Other grants and prizes,What are some competitions and prizes that have cash awards?
115000900891.html,Legal ,NDAs,What is an NDA?
115000822592.html,"Raising money - Grants, prizes and accelerators",Eligibility for SBIR / STTR grants,Who is eligible to apply for an SBIR project?
115000816331.html,"Raising money - Grants, prizes and accelerators",Writing a great SBIR proposal,What is the one thing I must know about writing an SBIR proposal?
115000822472.html,"Raising money - Grants, prizes and accelerators",Applying for an SBIR or STTR grant,When can I apply for an SBIR award?
115000815511.html,Sector Deep Dives,Tough Tech / Deep Tech,What is different about deep tech startups?
115000789732.html,"Raising money - Grants, prizes and accelerators",Phase 1 and Phase 2 SBIR / STTR Awards,What is a Phase 1 versus a Phase 2 award?
115000783111.html,"Raising money - Grants, prizes and accelerators",Introduction to SBIR / STTR,What is the SBIR program?
115001161086.html,Primary Market Research,Product and usability research,How do I do usability research?
115001111686.html,Raising money - crowdfunding,Crowdfunding,Step by step guide to crowd funding
217023386.html,"Pitching, Presentations and Public Speaking",Preparing for a talk,How do I construct a talk or presentation?
213136103.html,Product Design,General Product Design Guidelines,What are the keys to successful product design?
211635906.html,Business Model and Pricing,Determining Pricing,How can entrepreneurs determine an appropriate price for their product?
213135203.html,Marketing and Sales,Sales conversion,What are successful techniques for improving sales?
213116903.html,Raising money - equity based,Fund raising - overview,A beginner's dictionary -- venture capital 
213105523.html,Marketing and Sales,Go to market strategy,Where should entrepreneurs focus their efforts in going to market?
213105483.html,Product Development,Planning projects,"Are you a feature, Product or Company ?"
211613286.html,Marketing and Sales,Sales conversion,What are actions entrepreneurs can take to improve sales?
211613226.html,Marketing and Sales,Sales conversion,How to effectively sell your product?
211611266.html,"Team Building: Leadership, Management and Culture",Development of Culture,What is core?
211607426.html,Legal ,Intellectual Property Protection,Why do entrepreneurs need to protect their technical and scientific innovations?
211591146.html,Raising money - equity based,Managing your investors,How do you make a quality relationship with a VC?
211588526.html,Strategy,Planning,What are the principles of a successful business strategy?
211587526.html,Strategy,Planning,What should entrepreneurs think about in planning out a business strategy?
210107293.html,Raising money - equity based,Pitching to investors,What do I need when talking to investors?
208108556.html,MIT Specific questions,For international students,Can a foreign student founder own equity in a startup?
209634573.html,MIT Specific questions,For international students,I am a foreign student founder. What are the visa options open to me?
209634403.html,MIT Specific questions,For international students,I am a foreign founder. How can I legally continue to work on my startup in the US after graduation?
208108416.html,MIT Specific questions,For international students,Can I work for a startup while I am a student here?
207994106.html,Marketing and Sales,Sales conversion,How do I convert trial customers to paying customers?
207720316.html,Legal ,Employee or Subcontractor?,Should I classify my staff as employees or subcontractors?
207593176.html,Legal ,Immigration Law,Starting a company as a foreign student 
207329156.html,Primary Market Research,Quantitative Research,What are some general best practices for designing an on-line survey?
207216396.html,Secondary Market Research,Secondary Market Research Resources,MIT only: Free access to analyst reports from the MIT library system
206959706.html,Business Model and Pricing,Hardware Business Models,What are some common business models for hardware businesses?
206939176.html,Legal ,Immigration Law,Where can I learn more about immigrant entrepreneurship?
206912256.html,Legal ,Immigration Law,How do I hire someone who is not a U.S. citizen or permanent resident to join my company?
